                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8239,                  4.489,                 4.2048,                0.00089,                0.39583,                0.00152,                0.00036,                 2.2944,                 3.7595,                 4.1587,                 0.0973,                 0.0003,                 0.0003
                      2,                 2.7332,                 4.4742,                  4.109,                0.00096,                0.36299,                0.00076,                0.00023,                  1.968,                 3.9011,                 3.7715,               0.093699,             0.00069923,             0.00069923
                      3,                 2.5966,                 4.1707,                 3.7902,                0.00061,                0.09044,                0.00055,                 0.0001,                  1.968,                 3.7218,                 3.4403,               0.090098,              0.0010976,              0.0010976
                      4,                 2.7136,                 3.8833,                 3.5439,                0.00077,                0.32639,                0.00115,                 0.0006,                 1.9619,                 3.7478,                 3.0762,               0.086495,               0.001495,               0.001495
                      5,                 2.6817,                  3.603,                 3.4899,                0.00077,                0.32639,                0.00115,                 0.0006,                 3.5297,                 5.9298,                 7.9596,               0.082892,              0.0018916,              0.0018916
                      6,                 2.5644,                 3.4144,                 3.3778,                0.00077,                0.32639,                0.00115,                 0.0006,                      0,                      0,                      0,               0.079287,              0.0022874,              0.0022874
                      7,                 2.7478,                 3.1061,                 3.4041,                0.00077,                0.32639,                0.00115,                 0.0006,                      0,                      0,                      0,               0.075682,              0.0026822,              0.0026822
                      8,                 2.6646,                 2.9878,                 3.3344,                0.00077,                0.32639,                0.00115,                 0.0006,                 5.9744,                    inf,                 4577.5,               0.072076,              0.0030761,              0.0030761
                      9,                 2.6356,                 2.9856,                 3.2922,                0.00039,                0.03194,                0.00024,                  3e-05,                 6.7423,                    inf,                 2654.6,               0.068469,              0.0034692,              0.0034692
                     10,                 2.5751,                 2.8762,                 3.2377,                0.00037,                0.00694,                0.00021,                  2e-05,                    nan,                    nan,                    nan,               0.064861,              0.0038614,              0.0038614
                     11,                 2.6515,                  2.738,                 3.2986,                0.00075,                0.01675,                0.00035,                  4e-05,                    nan,                    nan,                    nan,               0.061253,              0.0042527,              0.0042527
                     12,                 2.6525,                 2.4365,                 3.2885,                0.00075,                0.01675,                0.00035,                  4e-05,                    nan,                    nan,                    nan,               0.057643,              0.0046431,              0.0046431
                     13,                 2.6522,                 2.4451,                 3.2698,                0.33434,                0.07255,                0.00052,                  7e-05,                    nan,                    nan,                    nan,               0.054033,              0.0050327,              0.0050327
                     14,                 2.5941,                 2.5151,                 3.2432,                 0.0016,                0.07949,                0.00039,                  5e-05,                 5.3516,                    inf,                 1052.3,               0.050421,              0.0054214,              0.0054214
                     15,                 2.6803,                 2.4677,                 3.2535,                0.00146,                0.07949,                0.00047,                  6e-05,                 5.3261,                    inf,                 628.73,               0.046809,              0.0058091,              0.0058091
                     16,                 2.5775,                 2.3443,                 3.2206,                0.00049,                 0.0893,                0.00032,                  4e-05,                 5.3818,                    inf,                 374.88,               0.043196,              0.0061961,              0.0061961
                     17,                 2.6079,                 2.2084,                 3.2038,                0.00031,                0.05556,                0.00122,                0.00023,                   5.29,                    inf,                  239.6,               0.039582,              0.0065821,              0.0065821
                     18,                 2.6429,                 2.2733,                 3.1594,                0.00127,                0.24722,                0.00138,                 0.0003,                 4.8986,                    inf,                 55.091,               0.035967,              0.0069672,              0.0069672
                     19,                 2.6231,                  2.222,                 3.1767,                 0.0023,                0.36413,                0.00256,                0.00054,                 4.9925,                    inf,                 57.042,               0.032352,              0.0073515,              0.0073515
                     20,                 2.4876,                 2.1463,                 3.0737,                0.04227,                0.38783,                0.01297,                0.00202,                 4.8135,                    inf,                  60.34,               0.028735,              0.0077349,              0.0077349
                     21,                 2.6352,                  2.209,                  3.202,                0.13909,                0.43448,                0.08031,                0.01392,                 4.0399,                    inf,                  23.29,               0.025117,              0.0081174,              0.0081174
                     22,                 2.5446,                 2.2379,                 3.1801,                 0.0636,                0.58333,                0.17266,                0.04179,                 3.7459,                    inf,                 10.927,               0.021499,               0.008499,               0.008499
                     23,                 2.7266,                 2.3527,                 3.2992,                0.00397,                0.43113,                0.00404,                 0.0009,                 4.1935,                    inf,                 18.217,                0.01788,              0.0088798,              0.0088798
                     24,                 2.4976,                 2.3099,                 3.1499,                0.00223,                0.29722,                0.00233,                0.00047,                  4.137,                    inf,                  11.13,                0.01426,              0.0092596,              0.0092596
                     25,                 2.5168,                 2.3289,                  3.153,                0.00245,                0.27917,                 0.0048,                 0.0009,                 4.1411,                    inf,                  12.15,               0.010639,              0.0096386,              0.0096386
                     26,                 2.4335,                 2.1222,                 3.0962,                0.01853,                0.38194,                 0.0127,                0.00425,                 3.3963,                 181.27,                 11.651,               0.009725,               0.009725,               0.009725
                     27,                 2.4504,                 2.2271,                 3.0854,                0.68269,                0.08333,                0.00571,                  0.001,                 5.0166,                 172.35,                 99.316,               0.009714,               0.009714,               0.009714
                     28,                 2.2206,                 2.1313,                 2.9661,                  5e-05,                0.03472,                  3e-05,                  1e-05,                 4.9821,                    inf,                 20.513,               0.009703,               0.009703,               0.009703
                     29,                 2.3006,                 2.1646,                 2.9434,                  5e-05,                0.03472,                  3e-05,                  1e-05,                 5.6519,                    inf,                  43.99,               0.009692,               0.009692,               0.009692
                     30,                 2.4352,                 2.2895,                  3.065,                0.66729,                0.06944,                0.00049,                 0.0001,                  3.418,                    inf,                 17.263,               0.009681,               0.009681,               0.009681
                     31,                 2.4093,                 2.2491,                 3.0185,                0.01078,                0.17941,                0.00954,                0.00191,                 3.3269,                 74.041,                 8.3653,                0.00967,                0.00967,                0.00967
                     32,                 2.4199,                 2.2145,                 3.0343,                 0.0007,                0.07925,                0.00046,                0.00012,                   3.56,                 7.6935,                 9.6658,               0.009659,               0.009659,               0.009659
                     33,                 2.2391,                 2.2473,                 2.9522,                0.00043,                0.02083,                0.00023,                  8e-05,                 3.5893,                 6.8017,                 15.798,               0.009648,               0.009648,               0.009648
                     34,                 2.2717,                 2.0141,                 2.9497,                0.00268,                0.18987,                0.00177,                0.00033,                 3.7643,                 7.9223,                 46.015,               0.009637,               0.009637,               0.009637
                     35,                 2.3761,                 2.2806,                 2.9936,                0.21767,                  0.172,                0.06989,                 0.0186,                 3.3915,                 5.1698,                 24.406,               0.009626,               0.009626,               0.009626
                     36,                 2.3945,                 2.2071,                 3.0302,                0.03742,                0.19567,                0.02437,                0.00588,                 3.6151,                    6.5,                 28.242,               0.009615,               0.009615,               0.009615
                     37,                 2.1978,                 2.1795,                 2.9396,                0.02812,                0.12745,                0.01979,                 0.0053,                 3.7789,                 14.526,                 44.083,               0.009604,               0.009604,               0.009604
                     38,                 2.1581,                 2.0164,                 2.8809,                0.05086,                0.31209,                0.09618,                0.02227,                 2.6561,                 29.458,                 5.2688,               0.009593,               0.009593,               0.009593
                     39,                 2.1519,                  1.994,                 2.8946,                 0.4321,                0.07843,                0.05265,                0.00952,                 3.2681,                 47.843,                 8.9207,               0.009582,               0.009582,               0.009582
                     40,                 2.1588,                 2.0166,                 2.8486,                0.44219,                0.09518,                0.06857,                0.01294,                 2.8641,                 36.056,                 5.1184,               0.009571,               0.009571,               0.009571
                     41,                 2.1336,                 1.9338,                 2.8614,                0.53333,                0.08824,                0.10951,                0.02366,                  2.711,                 26.274,                 4.0467,                0.00956,                0.00956,                0.00956
                     42,                 2.2384,                 2.1291,                 2.8945,                0.12722,                0.27631,                0.14601,                0.04179,                  2.405,                 22.816,                 3.4503,               0.009549,               0.009549,               0.009549
                     43,                 2.1171,                 1.9728,                  2.806,                0.51987,                0.48856,                0.26793,                0.09636,                 2.2466,                 38.405,                 3.4033,               0.009538,               0.009538,               0.009538
                     44,                 2.1413,                 1.9541,                 2.7919,                0.62037,                  0.154,                0.28345,                0.15489,                 2.0772,                   81.2,                 3.3409,               0.009527,               0.009527,               0.009527
                     45,                 2.0165,                 1.9631,                 2.7001,                 0.2529,                0.58889,                0.38244,                0.13721,                 2.0237,                 23.877,                 3.1524,               0.009516,               0.009516,               0.009516
