                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9968,                 5.1625,                 4.4168,                0.00075,                0.36157,                0.00129,                0.00034,                 2.4459,                 3.9024,                 4.1584,                 0.0964,                 0.0004,                 0.0004
                      2,                 2.8159,                 5.0043,                  4.311,                0.00011,                0.09091,                0.00027,                  9e-05,                 2.2355,                 3.8405,                 3.7969,               0.091899,             0.00089911,             0.00089911
                      3,                  2.764,                 4.6653,                 3.7767,                0.00011,                0.09091,                0.00027,                  9e-05,                 2.0508,                 3.9189,                  3.228,               0.087397,              0.0013972,              0.0013972
                      4,                 2.6546,                 4.3758,                 3.4504,                0.00027,                 0.2595,                0.00032,                0.00015,                 3.1853,                    inf,                 25.923,               0.082894,              0.0018944,              0.0018944
                      5,                  2.746,                 4.2216,                 3.4011,                0.00027,                 0.2595,                0.00032,                0.00015,                 3.2751,                    inf,                 401.66,                0.07839,              0.0023905,              0.0023905
                      6,                 2.6308,                 4.0732,                 3.2732,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.073886,              0.0028856,              0.0028856
                      7,                  2.647,                 3.7852,                 3.1934,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,                0.06938,              0.0033798,              0.0033798
                      8,                 2.7841,                 3.7693,                 3.2317,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.064873,               0.003873,               0.003873
                      9,                 2.6116,                 3.5615,                 3.1831,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.060365,              0.0043652,              0.0043652
                     10,                 2.6134,                 3.5868,                 3.2318,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.055856,              0.0048563,              0.0048563
                     11,                 2.4964,                 3.4557,                 3.2564,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.051347,              0.0053465,              0.0053465
                     12,                 2.5158,                 3.4451,                 3.1815,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.046836,              0.0058357,              0.0058357
                     13,                 2.5056,                 3.5545,                 3.2062,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.042324,               0.006324,               0.006324
                     14,                 2.4944,                 3.5667,                 3.2199,                0.00027,                 0.2595,                0.00032,                0.00015,                    nan,                    nan,                    nan,               0.037811,              0.0068112,              0.0068112
                     15,                 2.5142,                 3.4867,                 3.1828,                0.00014,                0.16818,                0.00023,                 0.0001,                    nan,                    nan,                    nan,               0.033297,              0.0072974,              0.0072974
                     16,                 2.6546,                 3.4167,                 3.2449,                  1e-05,                0.01653,                  1e-05,                      0,                    nan,                    nan,                    nan,               0.028783,              0.0077827,              0.0077827
                     17,                 2.5119,                 3.4018,                  3.108,                  1e-05,                0.01653,                  1e-05,                      0,                    nan,                    nan,                    nan,               0.024267,              0.0082669,              0.0082669
                     18,                 2.4954,                 3.4407,                 3.1407,                  1e-05,                0.01653,                  1e-05,                      0,                 2.2345,                    inf,                 80.524,                0.01975,              0.0087502,              0.0087502
                     19,                 2.3565,                 3.2441,                 3.1755,                  1e-05,                0.01653,                  1e-05,                      0,                 2.2168,                    inf,                 63.833,               0.015232,              0.0092325,              0.0092325
                     20,                 2.5298,                 3.3588,                  3.181,                 0.0002,                0.02727,                0.00016,                  2e-05,                 2.0202,                    inf,                 31.184,               0.010714,              0.0097138,              0.0097138
                     21,                  2.464,                 3.2702,                 3.0823,                0.00026,                0.18595,                0.00025,                  7e-05,                 2.0776,                    inf,                 31.364,               0.009802,               0.009802,               0.009802
                     22,                 2.4475,                  3.293,                 3.0179,                0.37448,                0.34132,                0.02313,                0.00657,                 2.6413,                    inf,                 24.094,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.5236,                  3.525,                 3.1064,                 0.6428,                0.08678,                0.00984,                0.00357,                 2.9421,                    inf,                 19.963,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.4904,                 3.4613,                 3.0362,                 0.2763,                0.58678,                0.01143,                0.00437,                 2.3049,                    inf,                 24.444,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.5246,                 3.3809,                 3.0783,                0.37183,                0.47397,                0.01051,                0.00315,                 2.4318,                    inf,                 30.339,              0.0097624,              0.0097624,              0.0097624
                     26,                  2.449,                 3.2614,                  3.105,                0.37339,                 0.3876,                0.01043,                0.00349,                 2.4711,                    inf,                 22.012,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.4501,                 3.3304,                 2.9862,                0.09517,                 0.5781,                 0.0058,                0.00175,                  2.239,                    inf,                 16.167,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.3871,                 3.2285,                 2.9535,                   0.19,                0.42025,                0.01337,                0.00598,                 2.0444,                    inf,                 7.0356,              0.0097327,              0.0097327,              0.0097327
                     29,                  2.374,                 3.3054,                 3.0206,                0.19873,                0.33595,                0.02983,                0.01344,                 2.1442,                    inf,                 6.2433,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.2796,                 3.1442,                 2.9679,                0.00406,                0.23595,                 0.0035,                0.00137,                 3.1617,                    inf,                 16.777,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.3125,                 3.1894,                 2.9144,                0.09214,                0.46157,                0.00236,                0.00085,                 2.3882,                    inf,                 17.608,               0.009703,               0.009703,               0.009703
                     32,                 2.2643,                 3.0894,                  2.905,                0.00206,                0.49752,                0.00316,                0.00141,                 2.4243,                    inf,                 8.2297,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.3222,                  3.196,                 3.0498,                0.11499,                0.57934,                0.01578,                0.00789,                 2.4193,                    inf,                 5.3332,              0.0096832,              0.0096832,              0.0096832
                     34,                  2.457,                 3.1489,                 3.0385,                0.10981,                0.65031,                0.02963,                 0.0088,                 2.5948,                    inf,                 8.5211,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.2339,                 3.0765,                 2.9305,                0.10713,                0.52521,                0.02399,                 0.0069,                   2.69,                    inf,                 13.847,              0.0096634,              0.0096634,              0.0096634
                     36,                  2.284,                 3.0997,                 3.0008,                0.01196,                0.59793,                0.02174,                0.00856,                 2.7362,                    inf,                 26.824,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.2194,                 3.1082,                 2.9511,                 0.0015,                0.45413,                0.00267,                0.00093,                 2.7366,                    inf,                 27.943,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.2885,                 3.1261,                 2.9102,                0.49857,                   0.35,                 0.0972,                0.03379,                 2.6526,                    inf,                 15.801,              0.0096337,              0.0096337,              0.0096337
                     39,                 2.1665,                 3.0193,                 2.8773,                0.28297,                0.28636,                0.07317,                 0.0307,                  2.609,                 45.472,                 11.886,              0.0096238,              0.0096238,              0.0096238
                     40,                 2.1742,                 3.0564,                 2.9537,                0.37668,                0.35372,                0.04703,                0.02028,                 2.4002,                    inf,                   10.2,              0.0096139,              0.0096139,              0.0096139
                     41,                 2.0832,                 3.0287,                 2.8963,                0.64797,                0.12231,                0.07585,                0.02826,                 2.5244,                  4.435,                 8.8157,               0.009604,               0.009604,               0.009604
                     42,                 2.1102,                 3.1263,                 2.8195,                0.66466,                    0.2,                0.10065,                0.03237,                  2.241,                 16.474,                 5.3159,              0.0095941,              0.0095941,              0.0095941
                     43,                 2.1892,                 3.0547,                 2.8804,                0.48623,                0.20909,                0.06904,                0.01709,                 3.4328,                 6.1436,                 10.765,              0.0095842,              0.0095842,              0.0095842
                     44,                 2.1498,                 3.0606,                 2.8006,                0.57955,                0.16364,                0.06111,                0.01527,                 2.6162,                 80.548,                 11.496,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.9907,                 2.9726,                 2.7635,                 0.4982,                0.29091,                 0.0758,                0.01955,                 2.6383,                 63.249,                 11.918,              0.0095644,              0.0095644,              0.0095644
                     46,                 2.0891,                 3.0435,                 2.8114,                0.29952,                0.28182,                0.07999,                0.02697,                 2.6703,                    inf,                 12.589,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.9955,                 2.9669,                 2.7932,                0.45891,                0.31818,                0.03756,                 0.0169,                 2.7235,                    inf,                  12.85,              0.0095446,              0.0095446,              0.0095446
                     48,                 2.0014,                 2.9522,                 2.7268,                0.45881,                    0.2,                0.00721,                0.00272,                 2.5553,                    inf,                 10.243,              0.0095347,              0.0095347,              0.0095347
                     49,                 2.0445,                 3.0182,                 2.7895,                0.48945,                0.32727,                0.04232,                0.01523,                  2.557,                    inf,                 7.4766,              0.0095248,              0.0095248,              0.0095248
                     50,                  1.957,                 2.9567,                 2.7389,                0.00194,                0.20413,                0.01365,                0.00766,                 2.6276,                 5.6234,                  4.916,              0.0095149,              0.0095149,              0.0095149
                     51,                 2.1869,                 3.0352,                 2.8983,                0.86981,                0.02436,                0.03273,                0.01664,                 2.5243,                 5.1209,                 5.4867,               0.009505,               0.009505,               0.009505
                     52,                 2.1046,                 3.0999,                 2.7996,                0.19815,                0.43471,                0.07751,                0.02788,                 2.5382,                 49.304,                 6.3333,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.9609,                 3.0049,                 2.6876,                0.19815,                0.43471,                0.07751,                0.02788,                 2.3003,                 6.7747,                 4.9999,              0.0094852,              0.0094852,              0.0094852
                     54,                 2.1204,                 3.0617,                  2.783,                0.00324,                0.30248,                0.00695,                0.00249,                 2.1357,                 4.6421,                 3.5611,              0.0094753,              0.0094753,              0.0094753
                     55,                 2.0343,                 3.0819,                  2.757,                0.14617,                 0.2843,                0.12859,                0.06218,                 2.1342,                 3.9273,                 3.1233,              0.0094654,              0.0094654,              0.0094654
                     56,                 2.0827,                 3.1802,                 2.8313,                0.49679,                0.21322,                0.09527,                0.03304,                 2.1617,                 19.397,                 3.4879,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.9489,                 2.9544,                 2.7228,                0.48716,                0.19091,                0.04686,                0.01392,                 2.1608,                 9.0193,                 3.4403,              0.0094456,              0.0094456,              0.0094456
                     58,                  2.026,                 3.0055,                 2.7171,                0.28427,                0.02273,                0.02123,                0.00763,                 2.0143,                 3.9833,                 3.2308,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.9229,                 2.8989,                 2.7172,                 0.6808,                0.08636,                0.07218,                0.02997,                  2.305,                 6.7058,                 4.8858,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.9703,                 2.8246,                 2.6915,                 0.8161,                0.17273,                0.13081,                0.03973,                 2.2271,                 19.057,                 5.1247,              0.0094159,              0.0094159,              0.0094159
                     61,                  1.934,                  2.805,                 2.6516,                0.02014,                0.14298,                0.03432,                0.01689,                 2.5042,                 4.6141,                 4.5866,               0.009406,               0.009406,               0.009406
                     62,                 1.8491,                 2.7818,                 2.6124,                0.41376,                0.29215,                0.23939,                0.07885,                 1.9528,                 6.2429,                 3.5555,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.9634,                 2.9017,                 2.6772,                0.45872,                0.23758,                0.16593,                0.08222,                  1.695,                 5.3495,                 2.8831,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.9774,                 2.8849,                 2.6989,                0.29166,                0.10909,                0.04889,                0.01709,                 2.2626,                 4.7541,                 3.3643,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.8646,                 2.8714,                 2.6947,                0.10093,                0.10413,                0.03178,                 0.0133,                 2.3388,                 4.4463,                 3.3499,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.8286,                 2.9024,                 2.6271,                0.53967,                0.19091,                0.20599,                0.09942,                 1.7831,                 5.4517,                 3.0205,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.8837,                 2.8902,                 2.7023,                  0.216,                0.42727,                0.13281,                0.04783,                  1.973,                 3.8649,                  3.465,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.9876,                 2.8309,                 2.7644,                0.14214,                0.21208,                0.12836,                0.05228,                 1.6793,                 2.9703,                 2.8001,              0.0093367,              0.0093367,              0.0093367
                     69,                  1.983,                 2.8641,                 2.7836,                0.29515,                0.15467,                0.12775,                0.05749,                 1.8404,                 2.7297,                 2.8783,              0.0093268,              0.0093268,              0.0093268
                     70,                  1.932,                 2.7706,                  2.629,                0.15464,                0.12107,                0.03801,                0.01356,                 2.6181,                 3.5106,                 4.4093,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.7677,                 2.7948,                 2.5222,                0.66984,                0.18636,                0.05575,                0.01829,                 2.7782,                 3.7409,                  4.401,               0.009307,               0.009307,               0.009307
                     72,                 1.8063,                 2.7585,                 2.5274,                0.27033,                0.38636,                0.16711,                0.06198,                 2.0126,                 3.5034,                 3.1824,              0.0092971,              0.0092971,              0.0092971
                     73,                   1.79,                 2.6662,                 2.4957,                0.65359,                0.20361,                 0.1988,                0.11306,                 1.5831,                 4.4176,                 2.7292,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.7993,                 2.7088,                 2.5354,                0.22791,                0.28388,                0.17554,                0.06354,                 2.1394,                 3.2564,                 3.3024,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.8226,                 2.6842,                 2.5714,                0.28838,                0.06198,                0.07613,                0.03339,                 2.4933,                 4.5678,                 3.4945,              0.0092674,              0.0092674,              0.0092674
                     76,                  1.818,                 2.7296,                 2.5185,                0.08789,                0.38563,                0.12141,                0.04422,                 2.1785,                 3.6458,                 3.4083,              0.0092575,              0.0092575,              0.0092575
                     77,                  1.759,                 2.6664,                 2.4685,                0.15486,                0.29463,                0.08773,                0.04131,                 1.7336,                 3.8303,                 2.8319,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.8348,                 2.6737,                 2.5089,                0.16756,                0.32547,                0.11786,                0.04982,                 1.7441,                 3.9671,                 2.9195,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.6822,                 2.5543,                 2.4545,                0.15283,                0.22231,                0.11047,                0.04413,                 1.9445,                 3.6124,                 3.0373,              0.0092278,              0.0092278,              0.0092278
                     80,                  1.817,                 2.6257,                 2.4726,                0.31023,                0.10246,                0.12069,                0.05685,                 1.7912,                 3.2479,                 2.7697,              0.0092179,              0.0092179,              0.0092179
                     81,                  1.771,                 2.5574,                 2.4996,                0.33892,                0.22554,                0.22397,                0.11315,                 1.8048,                 2.7596,                 2.7034,               0.009208,               0.009208,               0.009208
                     82,                 1.8875,                 2.7444,                  2.565,                0.27166,                0.40652,                0.21779,                0.07145,                 2.2471,                 4.6074,                 3.5133,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.7913,                 2.6641,                 2.5059,                0.15955,                0.22727,                 0.1272,                0.05565,                 2.1562,                 4.0716,                 3.2095,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.8557,                 2.7148,                  2.512,                0.10756,                0.32982,                0.14503,                0.05977,                 2.3428,                 2.9589,                 3.2692,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.7908,                 2.6214,                 2.4747,                 0.1093,                0.54879,                0.19976,                0.10717,                 1.7941,                 2.8128,                 2.8107,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.7309,                 2.5823,                 2.4093,                0.37201,                0.42694,                 0.2234,                0.08714,                 2.1445,                 46.148,                 3.5481,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.7582,                 2.6121,                 2.4076,                0.34966,                0.39669,                0.23882,                0.09212,                 2.0243,                 15.575,                  3.189,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.6257,                 2.5217,                 2.3537,                0.38435,                0.31022,                0.24721,                0.12807,                  1.546,                 6.2051,                   2.62,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.6793,                  2.459,                 2.4083,                 0.2686,                0.41728,                0.23659,                0.12425,                 1.7801,                 4.0869,                   2.94,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.7434,                 2.5682,                 2.4525,                0.32021,                0.38279,                0.22697,                0.10903,                 2.0817,                 2.8095,                  3.222,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.8214,                 2.5646,                 2.4763,                0.32494,                0.50158,                0.30483,                0.13221,                 1.6944,                 6.0023,                 2.8397,               0.009109,               0.009109,               0.009109
                     92,                 1.6916,                 2.5384,                 2.4358,                0.35265,                0.54256,                0.21527,                0.08025,                 2.0494,                 29.407,                 3.6989,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.7028,                 2.5708,                 2.3894,                0.18234,                0.34991,                0.14199,                0.06691,                 1.8636,                 3.9672,                 3.0463,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.7168,                 2.5113,                 2.4005,                0.29475,                0.33853,                0.26341,                0.11569,                 1.5926,                 2.7854,                 2.7312,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.6574,                  2.448,                 2.2841,                0.08594,                0.28719,                0.14544,                0.07757,                 1.5982,                  3.726,                 2.9182,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.6985,                 2.4707,                 2.3636,                0.18164,                0.32711,                0.30712,                0.15357,                 1.4875,                 2.1667,                 2.6556,              0.0090595,              0.0090595,              0.0090595
                     97,                    1.8,                  2.513,                 2.4676,                0.38697,                0.54835,                  0.419,                0.21519,                 1.4467,                 2.1565,                 2.6078,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.6813,                 2.5086,                 2.3388,                0.51484,                 0.2814,                0.22405,                0.10978,                 1.9573,                 3.2476,                 3.0118,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.7644,                 2.4546,                 2.4575,                0.19037,                0.30814,                0.25816,                 0.1456,                 1.8358,                 2.9585,                 2.9714,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.6953,                 2.4699,                 2.3906,                0.12157,                0.29917,                0.19253,                0.10334,                 1.9224,                 3.0391,                 3.0969,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.6176,                   2.36,                 2.3344,                0.09856,                0.22058,                0.17447,                0.07213,                 2.1415,                 3.3341,                 3.3612,                0.00901,                0.00901,                0.00901
                    102,                 1.7819,                 2.4012,                 2.4627,                0.09554,                0.22149,                0.15516,                0.07274,                 2.0901,                 3.0743,                  3.267,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.7689,                 2.4749,                 2.4093,                0.16965,                0.11428,                  0.108,                 0.0506,                 2.1535,                 3.9726,                 3.3175,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.6917,                 2.3659,                 2.3554,                 0.1955,                0.61914,                0.35715,                0.20167,                 1.3975,                 3.9265,                  2.482,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.6193,                 2.4036,                 2.3179,                0.09858,                0.54102,                 0.2199,                0.12061,                  1.394,                 5.5362,                 2.5639,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.6883,                 2.5034,                 2.3512,                 0.8437,                0.11818,                0.16551,                 0.1026,                 1.7191,                 3.2921,                  2.783,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.6275,                 2.2689,                 2.2982,                0.84285,                0.13636,                0.16794,                0.09902,                 1.5333,                 3.0669,                 2.6489,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.5296,                 2.3004,                  2.295,                0.25165,                0.53182,                0.32223,                0.15434,                 2.0856,                 2.9406,                 3.2406,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.5526,                 2.3641,                 2.2131,                0.19969,                0.49549,                0.26923,                0.15147,                 1.8717,                 2.8906,                 2.9377,              0.0089308,              0.0089308,              0.0089308
                    110,                  1.638,                 2.4104,                 2.2739,                0.52597,                0.25746,                0.21319,                0.10545,                 1.8833,                 3.3342,                  3.059,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.6069,                 2.2818,                 2.2883,                0.33511,                0.37666,                0.36352,                0.19877,                  1.573,                 2.2764,                 2.7014,               0.008911,               0.008911,               0.008911
                    112,                 1.6885,                  2.411,                  2.333,                0.63255,                0.10909,                0.12935,                0.05836,                 2.3037,                 4.9523,                  3.517,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.6301,                 2.2994,                 2.2873,                0.79098,                0.05772,                0.09789,                0.03549,                 2.6247,                 13.871,                 4.0597,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.7011,                 2.3135,                 2.3513,                0.04067,                 0.1004,                0.06758,                0.02869,                 1.9315,                 3.2417,                 3.0127,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.6507,                  2.263,                 2.2666,                0.43941,                0.34733,                0.30276,                0.17682,                 1.4914,                 2.2422,                  2.573,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.6447,                 2.2774,                 2.2685,                0.32027,                0.39545,                0.40004,                0.23624,                 1.5027,                 2.4609,                 2.6511,              0.0088615,              0.0088615,              0.0088615
                    117,                  1.622,                 2.2562,                 2.2487,                0.35489,                0.52273,                0.47345,                0.27009,                 1.4293,                 3.0878,                 2.5402,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.5864,                 2.2254,                 2.2369,                0.37566,                0.56543,                0.43764,                0.27609,                 1.1514,                 1.9302,                 2.2532,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.6077,                  2.229,                 2.1929,                0.28492,                0.53875,                0.35728,                0.19799,                 1.4423,                 2.5656,                 2.5473,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.6468,                 2.3586,                 2.3156,                0.52537,                0.56935,                0.50833,                 0.2927,                 1.4919,                 2.1028,                 2.5562,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.5679,                 2.3802,                 2.2811,                0.20446,                0.49791,                0.28292,                0.15389,                 1.8535,                  3.033,                 3.0304,               0.008812,               0.008812,               0.008812
                    122,                 1.5883,                 2.3138,                  2.245,                0.34497,                0.44431,                0.27579,                0.15261,                 1.3733,                 4.2425,                 2.4871,              0.0088021,              0.0088021,              0.0088021
                    123,                  1.556,                 2.3551,                 2.2204,                0.33911,                  0.481,                0.33283,                0.18908,                 1.2732,                 3.5234,                 2.4287,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.5719,                   2.09,                 2.1875,                0.57765,                0.24038,                0.35625,                0.21168,                 1.3949,                 2.9399,                 2.4863,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.4985,                 2.1562,                 2.1622,                0.44381,                0.38031,                0.36817,                0.22305,                 1.3683,                  3.079,                 2.4708,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.6321,                 2.2831,                 2.2761,                 0.3907,                0.52203,                0.46109,                0.28736,                 1.2809,                 2.5396,                 2.3548,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.6694,                  2.317,                 2.2806,                0.79784,                 0.2767,                0.38998,                0.24248,                 1.2743,                 2.2631,                 2.3714,              0.0087526,              0.0087526,              0.0087526
                    128,                  1.651,                 2.3377,                 2.3145,                0.43683,                0.36937,                0.45109,                 0.2506,                  1.374,                 2.0022,                 2.4686,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.6013,                 2.2281,                 2.2318,                0.13985,                0.39256,                0.21354,                 0.0742,                 2.0232,                 3.8917,                 3.2859,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.5038,                 2.1969,                 2.1909,                0.23825,                0.29415,                0.24162,                0.11482,                 1.5755,                  4.818,                 2.6572,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.5731,                 2.1472,                 2.2737,                0.26897,                0.60073,                0.38413,                0.21048,                 1.7884,                 4.0086,                 2.8752,               0.008713,               0.008713,               0.008713
                    132,                  1.524,                 2.2818,                 2.1517,                0.35112,                0.41281,                0.29893,                0.16378,                 1.6143,                 5.1302,                 2.7226,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.5551,                 2.1513,                 2.1853,                0.58296,                 0.3314,                0.25592,                0.14951,                  1.603,                 4.6932,                 2.7011,              0.0086932,              0.0086932,              0.0086932
