                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9164,                 4.4404,                 4.3879,                0.00293,                0.73636,                0.00342,                0.00088,                 2.4165,                 3.6509,                 4.1585,                 0.0973,                 0.0003,                 0.0003
                      2,                 2.9743,                 4.6781,                 4.3537,                0.00288,                0.68485,                0.00391,                 0.0011,                 2.3136,                 3.6552,                 3.9086,               0.093699,             0.00069931,             0.00069931
                      3,                 2.6893,                 4.1176,                 3.9527,                0.00161,                0.46667,                0.00193,                0.00083,                 2.1037,                 3.4806,                 3.5342,               0.090098,              0.0010978,              0.0010978
                      4,                 2.7603,                 3.8483,                 3.7211,                0.00037,                0.33333,                0.00057,                0.00019,                 1.9875,                 3.8229,                 3.2095,               0.086496,              0.0014955,              0.0014955
                      5,                  2.574,                 3.5675,                 3.4759,                0.66907,                0.18182,                0.00478,                0.00155,                  2.827,                 11.612,                 3.8849,               0.082892,              0.0018925,              0.0018925
                      6,                 2.6831,                 3.3975,                 3.5266,                0.00082,                0.31818,                0.00081,                0.00031,                 3.3796,                    inf,                 30.893,               0.079289,              0.0022886,              0.0022886
                      7,                 2.7078,                 3.5131,                 3.4021,                0.00071,                0.33333,                0.00071,                0.00032,                   2.35,                    inf,                 485.41,               0.075684,               0.002684,               0.002684
                      8,                 2.7799,                 3.5026,                  3.421,                0.00071,                0.33333,                0.00071,                0.00032,                 2.3798,                    inf,                 1536.2,               0.072079,              0.0030785,              0.0030785
                      9,                 2.7616,                 3.5733,                 3.3715,                0.00071,                0.33333,                0.00071,                0.00032,                 2.7803,                    inf,                 2909.3,               0.068472,              0.0034723,              0.0034723
                     10,                 2.8285,                 3.3388,                 3.4062,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.064865,              0.0038653,              0.0038653
                     11,                 2.7283,                 3.3223,                  3.307,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.061257,              0.0042574,              0.0042574
                     12,                 2.5473,                 3.1035,                  3.194,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.057649,              0.0046488,              0.0046488
                     13,                 2.6532,                 3.1987,                 3.2276,                0.00071,                0.33333,                0.00071,                0.00032,                 4.7364,                    inf,                 2295.6,               0.054039,              0.0050394,              0.0050394
                     14,                 2.6443,                 2.8285,                 3.2109,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.050429,              0.0054292,              0.0054292
                     15,                 2.7619,                 2.9598,                  3.245,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.046818,              0.0058182,              0.0058182
                     16,                 2.5639,                 2.9847,                 3.1157,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.043206,              0.0062064,              0.0062064
                     17,                 2.5711,                 3.0914,                 3.1003,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.039594,              0.0065939,              0.0065939
                     18,                  2.362,                 3.1142,                 3.0471,                0.00071,                0.33333,                0.00071,                0.00032,                    nan,                    nan,                    nan,               0.035981,              0.0069805,              0.0069805
                     19,                 2.7061,                 2.9657,                 3.2539,                  2e-05,                0.01667,                  1e-05,                      0,                    nan,                    nan,                    nan,               0.032366,              0.0073663,              0.0073663
                     20,                 2.5692,                 3.1466,                 3.1275,                0.00227,                0.14394,                0.00172,                0.00025,                    nan,                    nan,                    nan,               0.028751,              0.0077514,              0.0077514
                     21,                 2.5582,                 3.1405,                 3.1152,                0.00045,                0.20152,                0.00033,                  6e-05,                 4.0072,                    inf,                 691.72,               0.025136,              0.0081357,              0.0081357
                     22,                 2.4765,                 2.9078,                  3.128,                0.00086,                0.32727,                0.00076,                0.00015,                 3.8107,                    inf,                 256.96,               0.021519,              0.0085191,              0.0085191
                     23,                 2.6939,                 2.9978,                 3.1772,                0.00114,                0.45455,                0.00134,                 0.0003,                 3.4763,                    inf,                 156.62,               0.017902,              0.0089018,              0.0089018
                     24,                 2.5814,                 2.7574,                 3.1562,                0.00114,                0.45455,                0.00134,                 0.0003,                 3.3708,                    inf,                  54.72,               0.014284,              0.0092837,              0.0092837
                     25,                  2.472,                 2.9566,                 3.0495,                0.00114,                0.45455,                0.00134,                 0.0003,                  3.249,                    inf,                 26.057,               0.010665,              0.0096648,              0.0096648
                     26,                 2.4767,                 2.8679,                 3.0824,                0.00114,                0.45455,                0.00134,                 0.0003,                 3.0435,                    inf,                 14.889,              0.0097525,              0.0097525,              0.0097525
